Date Time Hour Beginning,Date Time Hour Beginning,Original Res Forecast before Lockdown,Residual Forecast,RSA Contracted Forecast,Dispatchable Generation,Residual Demand,RSA Contracted Demand,International Exports,International Imports,Thermal Generation,Nuclear Generation,Eskom Gas Generation,Eskom OCGT Generation,Hydro Water Generation,Pumped Water Generation,ILS Usage,Manual Load_Reduction(MLR),IOS Excl ILS and MLR,Dispatchable IPP OCGT,Eskom Gas SCO,Eskom OCGT SCO,Hydro Water SCO,Pumped Water SCO Pumping,Wind,PV,CSP,Other RE,Total RE,Wind Installed Capacity,PV Installed Capacity,CSP Installed Capacity,Other RE Installed Capacity,Total RE Installed Capacity,Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF,Non Comm Sentout,Drakensberg Gen Unit Hours,Palmiet Gen Unit Hours,Ingula Gen Unit Hours
2019-07,2019-07-16 11:30:00,26319.72084274194,27587.93600940859,26198.0800551074,26214.295579300942,27531.914817204284,1761.9472930107524,1110.1680107526881,23276.214731182794,1804.220430107527,0.01881720430107527,94.39381720430107,64.38709677419355,631.1559139784946,6.199596774193548,0.0,10.015927419354838,44.1710362903226,-1.8736559139784945,-1.487163978494633,0.0,-823.2889784946236,895.877637096775,316.11313575268844,95.73589784946236,9.892567204301075,1317.6192379032245,2079.7600000000084,1474.1899999999719,500.0,21.780000000000282,4075.729999999984,43691.0,2393.119751344085,9488.511162634406,556.4099112903231,10044.405913978495,471.8024193548387,1184.7667405914,80.13010752688169,40.65338709677418,37.06531586021507
2019-08,2019-08-16 11:30:00,25008.811499999985,26152.404233870984,24809.029018817015,24816.96271102132,26000.98171639782,1855.6119072580655,1030.1680107526881,22065.574408602148,1839.5967741935483,0.0,5.836021505376344,68.60887096774194,605.2903225806451,2.9195564516129027,0.0,5.014135752688172,4.281666666666666,-2.0,-1.671142473118288,0.0,-806.6559139784946,649.4041693548387,355.414196236559,170.03955241935492,9.161087365591394,1184.0190053763436,2079.7600000000084,1474.1899999999719,500.0,21.780000000000282,4075.729999999984,44411.0,4210.900431451611,8633.885247311822,633.0435215053768,9266.423387096775,454.84139784946234,874.3068844086037,82.6928763440861,43.53837365591399,37.50700940860219
2019-09,2019-09-15 23:30:00,24841.031565277786,26156.056266666634,24995.878533333285,25015.694227777727,26376.778829166662,1744.348640277776,1135.9347222222223,22369.96069444448,1503.651388888889,0.002777777777777778,74.70416666666667,80.13472222222222,663.2763888888888,7.299722222222223,0.0,12.515972222222222,42.19764444444444,-1.9902777777777778,-2.7811944444444516,0.0,-869.2125,743.5973666666663,388.87135138888925,220.05763749999988,8.558245833333324,1361.0846013888881,2079.7600000000084,1474.189999999973,500.0,21.780000000000268,4075.729999999984,44297.0,4835.710445833334,8454.118877777779,902.6516027777792,9356.261111111111,461.9138888888889,702.0347916666684,77.77861111111116,38.572152777777774,35.08277777777779
2019-10,2019-10-16 11:30:00,25344.53725806451,26743.42281720429,25333.114438172044,25464.82187231183,26884.993127688125,1825.6354260752694,1210.9314516129032,23023.3511155914,929.4274193548387,0.0,189.36962365591398,78.77956989247312,601.0309139784946,5.179032258064516,103.22764112903221,23.300760752688177,91.6889946236559,-2.0,-4.203897849462348,0.0,-785.260752688172,754.9302755376345,433.65358467741964,226.5173010752686,5.0700940860215065,1420.1712553763427,2079.7600000000084,1474.1899999999719,500.0,21.780000000000282,4075.729999999984,44297.0,3716.9138763440787,9846.49170026883,774.1879327956996,10620.16935483871,466.9489247311828,567.1963830645166,77.86075268817201,39.53259408602145,38.00137768817209
2019-11,2019-11-15 23:30:00,25124.529522222234,26604.237463888872,25088.06540277779,25209.562409722235,26697.909786111086,1896.9347111111108,1254.736111111111,22714.85644444445,927.8791666666667,0.03333333333333333,185.01527777777778,75.30694444444444,597.5458333333333,5.6975694444444445,20.964229166666666,94.83520833333333,119.60406944444439,-1.9180555555555556,-4.058999999999983,0.0,-780.9347222222223,801.2757277777783,442.6306611111114,239.24882499999993,5.192162499999991,1488.3473763888876,2079.7600000000084,1474.189999999973,500.0,21.780000000000268,4075.729999999984,44297.0,4552.182111111112,9748.618619444444,797.613543055556,10545.738888888889,445.99583333333334,917.6644444444445,80.98708333333335,39.476611111111076,39.977486111111105
2019-12,2019-12-16 11:30:00,23584.664220430128,25110.81162768818,22977.155661290326,23573.63562365592,25073.02230510751,1786.7308239247302,1288.9556451612902,20508.20177419357,913.8333333333334,0.5026881720430108,218.32930107526883,75.58064516129032,558.1639784946236,6.016129032258065,541.483241935484,48.98059139784946,152.44582258064517,-1.9206989247311828,-4.158602150537619,0.0,-732.7782258064516,860.7694099462362,402.373387096774,226.14445295698945,10.099431451612896,1499.3866814516125,2079.7600000000084,1474.1899999999719,500.0,21.780000000000282,4075.729999999984,45017.0,4372.037463709681,12577.089357526882,1030.885197580645,13607.456989247312,474.36424731182797,620.9513440860214,79.76935483870969,40.52505376344082,39.61982526881721
2020-01,2020-01-16 11:30:00,24250.151538978473,25761.514888440885,24077.275217741942,24276.441048387103,25762.38929569889,1799.1440376344055,1320.8709677419354,20825.32392473117,1596.5456989247311,0.005376344086021506,309.5793010752688,79.97446236559139,541.1720430107526,5.221706989247312,173.26939247311827,20.6747311827957,137.62361827956983,-1.635752688172043,-1.7906048387096787,0.0,-730.3938172043011,796.588610215054,421.2740766129034,259.99760752688155,8.08795295698924,1485.9482473118267,2079.7600000000084,1474.1899999999719,500.0,21.780000000000282,4075.729999999984,45017.0,3638.5622540322533,13145.865017473114,834.8633266129044,13980.233870967742,448.4569892473118,1049.3575268817203,79.50624999999985,39.284838709677494,38.86682795698926
2020-02,2020-02-15 11:30:00,25193.04898706901,26541.977264367797,24518.481097701108,25147.910432471224,26462.898139367833,1737.5024899425312,1180.2686781609195,21338.375416666688,1840.3189655172414,0.4382183908045977,184.97988505747125,102.86925287356321,525.5833333333334,7.0015086206896555,600.3462284482762,22.081597701149423,68.2348189655172,-1.9971264367816093,-1.402126436781619,0.0,-719.1882183908046,742.1324870689655,387.7349712643677,174.7773649425287,10.342883620689655,1314.9877068965513,2079.7600000000084,1505.2244827585944,500.0,21.780000000000253,4106.764482758605,45017.0,4386.933692528738,12105.41517528735,493.8232112068959,12598.758620689656,435.7212643678161,1174.6024425287358,81.37169540229891,42.256666666666675,36.11353448275863
2020-03,2020-03-16 11:30:00,24321.287862903217,25569.137126344085,23829.747655913896,24182.5664892472,25421.53306048391,1873.0743844086012,1241.5483870967741,20684.241868279572,1585.6451612903227,0.09408602150537634,269.9045698924731,82.52553763440861,594.8024193548387,4.701814516129032,334.71068145161274,13.40633870967742,167.568126344086,-1.881720430107527,-1.890295698924721,0.0,-792.8104838709677,631.0445255376343,445.37143548387104,150.31214919354858,12.238461021505373,1238.9665712365588,2079.7600000000084,1648.3835483870666,500.0,21.780000000000282,4249.92354838708,45017.0,4393.05245295699,11570.50884274193,635.7610416666656,12205.775537634408,445.8051075268817,738.2821236559139,82.60127688172048,42.57547043010751,30.0325873655914
2020-04,2020-04-15 23:30:00,19009.295075000024,20160.384201388883,19021.26101527778,19031.45564583334,20206.17303055555,1427.055547222222,1284.4958333333334,16830.783,957.6680555555556,0.013888888888888888,20.055555555555557,127.15972222222223,689.9680555555556,8.181388888888888,0.0,2.0132416666666666,28.022862499999995,-1.4527777777777777,-4.27401388888887,0.0,-911.1791666666667,614.274833333333,410.30478055555545,138.8626541666667,11.275116666666673,1174.717384722223,2079.7600000000084,1751.6899999999687,500.0,21.780000000000268,4353.229999999983,45017.0,6962.828161111105,7987.136280555556,1025.6796388888888,9012.315277777778,462.25,439.4897222222222,86.76083333333318,46.33666666666666,27.80028611111111
